Textbox4,Textbox7,Textbox8,Textbox10,Textbox11,Textbox14,Textbox13,Textbox20,Textbox21,Textbox23,Textbox24,Textbox26,Textbox27,Textbox30,Textbox29,Textbox34,Textbox36,Textbox39,Textbox37
"Monday, May 22, 2017",*All Records,0,*All Records,0,0,*All Records,*All Records,0,*All Records,0,*All Records,0,0,*All Records,*All Records,0,0,*All Records

Textbox594,Textbox124,Textbox600,shipto_cust_numb1,s_shipto_name,job_numb,order_qty11,line_numb,fg_item_numb,fg_item_desc,ship_line_numb1,DATE_WANTED,onhandquantity,order_qty1,unit_cost,shipto_numb,shipto_numb1,shipto_phone,unit_cost1,DATE_SHIP1,Textbox115,Textbox117,Textbox119,Textbox268,Textbox270,Textbox272
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,637724,      54,004,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,1/13/2016,0,54,$648.00,36,$432.00,18,$216.00,8/12/2016,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,638719,       2,005,TRIP CHARGE ,TRIP CHARGE                   ,001,3/23/2016,0,2,$706.00,2,$706.00,0,$0.00,3/31/2016,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,638719,       9,004,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,3/23/2016,0,9,$108.00,9,$108.00,0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,638719,       9,004,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,3/23/2016,0,9,$108.00,6,$72.00,3,$36.00,8/12/2016,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,638719,      21,002,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,3/23/2016,0,21,$252.00,21,$252.00,0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,638719,      21,002,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,3/23/2016,0,21,$252.00,14,$168.00,7,$84.00,8/12/2016,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,640940,       1,001,CDS0028542  ,LAKESIDE PRIVACY SHADE        ,001,9/6/2016,1,1,"$2,606.00",1,"$2,606.00",0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,640940,       1,002,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,9/6/2016,0,1,$520.00,1,$520.00,0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,640940,       1,003,TRIP CHARGE ,TRIP CHARGE                   ,001,9/6/2016,0,1,$353.00,1,$353.00,0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,642005,       1,003,CDS0029283  ,LAKESIDE PRIVACY SHADE        ,001,12/20/2016,1,1,$814.52,1,$814.52,0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,642005,       1,004,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,12/20/2016,0,1,$165.00,1,$165.00,0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,642005,       1,005,CDS0029284  ,LAKESIDE PRIVACY SHADE        ,001,12/20/2016,1,1,$319.59,1,$319.59,0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,642005,       1,006,TRIP CHARGE ,TRIP CHARGE                   ,001,12/20/2016,0,1,$353.00,1,$353.00,0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
